selected_order,word_id,word,pinyin,english,category,reading_ready,writing_ready,notes
1,380,我,wǒ,I,pronoun,yes,yes,
2,271,你,nǐ,you,pronoun,yes,yes,
3,354,他,tā,he,pronoun,yes,yes,
4,356,她,tā,she,pronoun,yes,yes,
5,381,我们,wǒmen,we,pronoun,yes,yes,
6,337,是,shì,to be/yes,core verb,yes,yes,
7,328,什么,shénme,what,question word,yes,yes,
8,325,谁,shéi,who,question word,yes,yes,
9,251,哪里,nǎlǐ,where,question word,yes,yes,
10,296,请,qǐng,please,interaction,yes,yes,
11,410,谢谢,xièxie,thank you,interaction,yes,yes,
12,441,有,yǒu,have,verb,yes,yes,
13,205,来,lái,come,verb,yes,yes,
14,302,去,qù,go,verb,yes,yes,
15,192,看,kàn,see/look,verb,yes,yes,
16,349,说,shuō,speak/say,verb,yes,yes,
17,409,写,xiě,write,verb,yes,yes,
18,420,学习,xuéxí,study,verb,yes,yes,
19,46,吃,chī,eat,verb,yes,yes,
20,144,喝,hē,drink,verb,yes,yes,
21,479,中文,zhōngwén,Chinese,noun,yes,yes,
22,284,朋友,péngyou,friend,noun,yes,yes,
23,209,老师,lǎoshī,teacher,noun,yes,yes,
24,419,学生,xuésheng,student,noun,yes,yes,
25,421,学校,xuéxiào,school,noun,yes,yes,
26,169,家,jiā,home/family,noun,yes,yes,
27,181,今天,jīntiān,today,time,yes,yes,
28,399,现在,xiànzài,now,time,yes,yes,
29,138,好,hǎo,good,adjective,yes,yes,
30,160,会,huì,can/be able to,modal,yes,yes,
